"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",59716249310.9742,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",50056685957.359,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",47209186415.3555,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",50706614526.1472,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",59708125203.8643,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",70436008642.4251,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",76720005491.8964,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",72881364882.4909,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",70846276051.4727,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",79705614854.7674,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",92602634891.6589,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",99800593790.9886,"Nominal GDP"
"country/CHN","CN","China","Amount_EconomicActivity_GrossDomesticProduction_Nominal","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",113689308020.343,"Nominal GDP"
